5297,廣  化
6693,廣閎科
1338,廣華KY
3287,廣寰科
6581,鋼  聯
8941,關  中
6183,關  貿
2474,可  成
8422,可寧衛
5206,坤  悅
2365,昆  盈
1786,科  妍
6655,科  定
3043,科  風
4987,科  誠
4568,科  際
4542,科  嶠
6496,科  懋
5215,科嘉KY
6265,堃  昶
4527,堃  霖
6803,崑  鼎
8089,康  全
6236,康  呈
3674,康  訊
4739,康  普
6282,康  舒
6919,康  霈
9919,康那香
6016,康和証
6518,康科特
910322,康師傅
4943,康控KY
6665,康聯生
3672,康聯訊
2375,凱  美
5498,凱  崴
5468,凱  鈺
8059,凱  碩
5201,凱  衛
2255,凱  銳
2939,凱羿KY
1817,凱撒衛
6839,開  陽
2883,開發金
2721,楷捷KY
6596,寬  宏
6101,寬  魚
1585,鎧  鉅
5264,鎧勝KY
6486,互  動
2433,互盛電
8433,弘  帆
5244,弘  凱
1474,弘  裕
3131,弘  塑
6482,弘煜科
3312,弘憶股
6158,禾  昌
4194,禾生技
3026,禾伸堂
3556,禾瑞亞
5283,禾聯碩
4743,合  一
1781,合  世
5381,合  正
6103,合  邦
6182,合  晶
1618,合  機
8937,合  騏
5880,合庫金
4745,合富KY
3704,合勤控
6747,亨泰光
3114,好  德
9943,好樂迪
8932,宏  大
6277,宏  正
9939,宏  全
1236,宏  亞
1446,宏  和
4530,宏  易
1413,宏  洲
1612,宏  泰
3605,宏  致
1452,宏  益
4565,宏  偉
2534,宏  盛
2536,宏  普
2353,宏  碁
1460,宏  遠
6895,宏  碩
6168,宏  齊
2527,宏  璟
6568,宏  觀
2243,宏旭KY
1599,宏佳騰
8086,宏捷科
2498,宏達電
6857,宏碁新
6811,宏碁資
6908,宏碁遊
6015,宏遠證
6674,鋐  寶
8906,花  王
1730,花仙子
1536,和  大
1810,和  成
1714,和  桐
1709,和  益
6673,和  詮
3191,和  進
6826,和  淞
6592,和  潤
1586,和  勤
6215,和  椿
4938,和  碩
6825,和  暢
3049,和  鑫
2207,和泰車
1783,和康生
3297,杭  特
3577,泓  格
4741,泓  瀚
6873,泓德能
2107,厚  生
1325,恆  大
6920,恆  勁
8349,恒  耀
9951,皇  田
2543,皇  昌
4744,皇  將
2528,皇  普
2545,皇  翔
5533,皇  鼎
3512,皇  龍
6407,相  互
8426,紅木KY
2928,紅馬KY
6279,胡  連
2380,虹  光
3257,虹冠電
6573,虹揚KY
5258,虹  堡  
4549,桓  達
5543,桓鼎KY
6872,浩  宇
4174,浩  鼎
2038,海  光
2348,海  悅
3694,海  華
3252,海  灣
6688,海  樂
6884,海柏特
3268,海德威
6203,海韻電
5271,紘  通
6457,紘  康
6289,華  上
3010,華  立
6657,華  安
6682,華  旭
6235,華  孚
8240,華  宏
2548,華  固
2530,華  建
8110,華  東
8101,華  冠
3520,華  盈
8446,華  研
1305,華  夏
5328,華  容
2329,華  泰
1905,華  紙
2610,華  航
2313,華  通
2820,華  票
5015,華  祺
2702,華  園
1605,華  新
2468,華  經
3086,華  義
1603,華  電
4737,華  廣
2357,華  碩
3515,華  擎
6164,華  興
5292,華  懋
5292,華  懋
2109,華  豐
6916,華  凌
1436,華友聯
3688,華立捷
6621,華宇藥
2344,華邦電
3627,華信科
2880,華南金
1519,華城電
4979,華星光
2248,華勝KY
6788,華景電
3059,華晶科
2492,華新科
6163,華電網
2237,華德動
6474,華豫寧
8087,華鎂鑫
2739,寒  舍
3587,閎  康
3311,閎  暉
00674R,黃金反
1234,黑  松
2904,匯  僑
6754,匯  僑
8431,匯鑽科
3202,樺  晟
6414,樺  漢
6791,虎  門
6757,虎  航
6508,惠  光
6706,惠  特
8424,惠  普
1294,漢  田
2488,漢  平
3402,漢  科
1268,漢  美
2404,漢  唐
5205,漢  康
2634,漢  翔
6620,漢  達
3707,漢  磊
6218,豪  勉
4735,豪  展
5484,慧  友
6615,慧  智
2637,慧洋KY
6150,撼  訊
8934,衡  平
1104,環  泥
2413,環  科
4207,環  泰
3499,環天科
4991,環宇KY
7507,環拓科
6488,環球晶
3419,譁  裕
3021,鴻  名
6913,鴻  呈
2317,鴻  海
3521,鴻  翊
2354,鴻  準
3092,鴻  碩
4108,懷  特
8103,瀚  荃
5469,瀚宇博
6272,驊  陞
6237,驊  訊
6148,驊宏資
6877,鏵友益
6127,九  豪
6494,九  齊
8040,九暘電
6261,久  元
6167,久  正
6720,久  昌
6114,久  威
5011,久  陽
5547,久  舜
4173,久  裕
6498,久禾光
4559,久裕興
4588,玖鼎電
3095,及  成
6432,今  展
3011,今  皓
6209,今國光
9921,巨  大
8227,巨  有
1539,巨  庭
8084,巨  虹
6192,巨  路
6903,巨  漢
2254,巨  鎧
9136,巨  騰
6827,巨生醫
2760,巨宇翔
6882,甲  尚
8182,加  高
3323,加百裕
4109,加捷生
00676R,加權反
00675L,加權正
1587,吉  茂
2491,吉祥全
8488,吉源KY
8021,尖  點
4186,尖端醫
1525,江  申
4528,江  興
6640,均  華
5443,均  豪
4584,君  帆
2376,技  嘉
2524,京  城
2942,京  站
3413,京  鼎
2449,京元電
2809,京城銀
6419,京晨科
2033,佳  大
6284,佳  邦
1449,佳  和
1227,佳  格
2374,佳  能
4976,佳  凌
3391,佳  得
3310,佳  穎
5355,佳  總
9955,佳  龍
4104,佳  醫
2352,佳世達
6197,佳必琪
5452,佶  優
6216,居  易
2106,建  大
5515,建  工
2460,建  通
3603,建  祥
6118,建  達
8367,建  新
8092,建  暐
2421,建  準
3046,建  碁
5340,建  榮
3062,建  漢
5014,建  錩
5240,建  騰
3322,建舜電
6606,建德工
5299,杰  力
5383,金  利
8358,金  居
4503,金  雨
4417,金  洲
6133,金  橋
1796,金  穎
2312,金  寶
8042,金山電
8406,金可KY
8390,金益鼎
6645,金萬林
6832,金鼎科
2368,金像電
8429,金麗KY
3228,金麗科
6917,竟  天
6577,勁  豐
5285,界  霖
4130,健  亞
4502,健  信
4114,健  喬
3653,健  策
3044,健  鼎
4561,健  椿
3003,健和興
3680,家  登
6796,晉  弘
6221,晉  泰
6151,晉  倫
2064,晉  椿
4195,基  米
3176,基  亞
2538,基  泰
6641,基士德
6547,基亞生
8427,基勝KY
2643,捷  迅
6161,捷  波
4580,捷  流
6816,捷  智
5294,捷音特
6816,捷智商
6525,捷敏KY
3465,進  泰
6843,進典-新
3118,進  階
6692,進能服
6723,傑  智
2355,敬  鵬
3164,景  岳
6549,景  凱
5248,景  傳
3189,景  碩
4131,晶  宇
3141,晶  宏
3042,晶  技
8049,晶  采
2718,晶  悅
2707,晶  華
6411,晶  焱
4995,晶  達
3454,晶  睿
6491,晶  碩
6815,晶  鑽
6533,晶心科
4768,晶呈科
3530,晶相光
3535,晶彩科
6787,晶瑞光
3006,晶豪科
6640,均  華
6131,鈞  泰
6155,鈞  寶
4571,鈞興KY
8928,鉅  明
2476,鉅  祥
5529,鉅  陞
8074,鉅  橡
8435,鉅  邁
1455,集  盛
2937,集雅社
1103,嘉  泥
6715,嘉  基
3016,嘉  晶
1417,嘉  裕
3158,嘉  實
4942,嘉  彰
3533,嘉  澤
2067,嘉  鋼
3557,嘉威生
6153,嘉聯益
2022,聚  亨
6509,聚  和
4582,聚  恆
1477,聚  陽
1466,聚  隆
6224,聚  鼎
6112,聚  碩
3527,聚  積
2387,精  元
2414,精  技
3374,精  材
2331,精  英
8183,精  星
1584,精  剛
1565,精  華
6510,精  測
2070,精  湛
6214,精  誠
3162,精  確
3652,精  聯
4583,精  銳
6191,精成科
4951,精拓科
2228,劍  麟
5701,劍湖山
6180,橘  子
6729,機  光
3152,璟  德
3230,錦  明
4111,濟  生
1591,駿吉KY
6108,競  國
2761,橘焱胡同
1439,雋  揚
3236,千  如
8383,千  附
6829,千附精
2025,千  興
1563,巧  新
2305,全  友
3038,全  台
3209,全  科
5903,全  家
5222,全  訊
3067,全  域
